"cow.id";"btn3a1";"lactation";"milk";"fat"
86;"1";"1";6083;265
86;"1";"2";5690;286
86;"1";"3";7434;362
86;"1";"4";7561;323
87;"1";"1";6136;251
87;"1";"2";4316;169
87;"1";"3";4089;141
87;"1";"4";4729;121
88;"1";"1";7554;306
88;"1";"2";8701;386
89;"1";"1";4726;214
89;"1";"2";7339;365
90;"1";"1";6500;288
90;"1";"2";7544;394
90;"1";"3";8010;336
91;"1";"1";7144;295
91;"1";"2";8558;392
92;"1";"1";6512;285
92;"1";"2";6210;283
93;"1";"1";7194;309
93;"1";"2";12982;431
94;"1";"1";6378;372
94;"1";"2";9361;374
94;"1";"3";8973;378
95;"1";"1";6083;327
95;"1";"2";9471;350
95;"1";"3";8990;377
96;"1";"1";5868;240
96;"1";"2";8448;338
96;"1";"3";8522;258
97;"1";"1";6592;299
99;"1";"1";7316;359
101;"1";"1";6293;286
102;"1";"1";7393;319
102;"1";"2";8800;326
104;"1";"1";5403;216
106;"1";"1";5673;255
106;"1";"2";6075;217
106;"1";"3";8723;351
107;"1";"1";6849;270
107;"1";"2";12583;355
107;"1";"3";7713;264
108;"1";"1";8364;437
109;"1";"1";7479;318
109;"1";"2";9431;367
109;"1";"3";10561;400
110;"1";"1";6200;233
110;"1";"2";10914;383
111;"2";"1";5119;274
112;"1";"1";4664;149
113;"1";"1";5975;194
113;"1";"2";10796;309
114;"1";"1";6585;350
114;"1";"2";8260;329
115;"1";"1";7219;341
115;"1";"2";9862;387
116;"1";"1";5163;237
117;"2";"1";6350;288
118;"1";"1";6337;273
118;"1";"2";8330;291
118;"1";"3";7091;265
119;"1";"1";4679;237
120;"1";"1";4891;216
120;"1";"2";5594;253
120;"1";"3";6500;288
121;"1";"1";5993;285
121;"1";"2";6438;288
121;"1";"3";4842;220
122;"1";"1";5851;276
122;"1";"2";7095;275
122;"1";"3";9459;358
123;"1";"1";4392;214
123;"1";"2";6045;278
123;"1";"3";4660;197
124;"1";"1";5293;248
124;"1";"2";8065;305
124;"1";"3";9473;410
125;"1";"1";4576;191
125;"1";"2";8213;359
125;"1";"3";10159;338
126;"2";"1";5578;254
126;"2";"2";5220;216
127;"1";"1";9080;343
127;"1";"2";6330;244
127;"1";"3";10388;398
128;"2";"1";5887;273
128;"2";"2";5265;235
128;"2";"3";7518;323
129;"1";"1";5779;239
129;"1";"2";9211;380
129;"1";"3";7718;319
130;"1";"1";5042;203
130;"1";"2";6902;272
130;"1";"3";9670;356
131;"1";"1";6422;318
131;"1";"2";9253;354
131;"1";"3";5737;219
132;"1";"1";7168;326
132;"1";"2";8986;374
132;"1";"3";7388;269
133;"1";"1";6376;285
133;"1";"2";9068;317
134;"1";"1";8269;324
134;"1";"2";9601;384
135;"1";"1";6371;263
135;"1";"2";6241;281
135;"1";"3";6890;252
136;"1";"1";7205;269
136;"1";"2";7912;311
137;"1";"1";7461;306
137;"1";"2";9144;373
138;"1";"1";8128;327
138;"1";"2";9045;351
139;"1";"1";6056;269
139;"1";"2";9399;351
139;"1";"3";8935;336
140;"1";"1";6184;284
140;"1";"2";9183;392
140;"1";"3";8065;344
142;"1";"1";6820;367
142;"1";"2";9723;426
142;"1";"3";9889;433
143;"1";"1";7025;332
143;"1";"2";7869;313
143;"1";"3";7235;308
144;"1";"1";5512;235
144;"1";"2";10684;363
145;"2";"1";7840;305
145;"2";"2";5331;235
146;"2";"1";10365;329
146;"2";"2";12704;444
147;"2";"1";7874;299
147;"2";"2";10526;408
148;"1";"1";7827;364
148;"1";"2";7688;322
149;"1";"1";2532;115
149;"1";"2";6847;305
149;"1";"3";8619;302
150;"2";"1";6298;267
151;"1";"1";7169;276
151;"1";"2";9060;375
152;"1";"1";5470;245
153;"1";"1";6748;279
153;"1";"2";6401;313
154;"1";"1";8603;291
154;"1";"2";9364;313
154;"1";"3";12810;483
155;"2";"1";5949;250
155;"2";"2";6544;251
155;"2";"3";6479;253
156;"1";"1";9606;327
156;"1";"2";9319;326
157;"1";"1";5839;294
157;"1";"2";6064;262
157;"1";"3";7488;275
158;"1";"1";6669;279
158;"1";"2";7784;312
159;"1";"1";5367;217
161;"1";"1";6943;334
161;"1";"2";7621;317
161;"1";"3";8017;339
162;"1";"1";6630;304
162;"1";"2";7756;297
162;"1";"3";7362;318
165;"1";"1";7269;344
165;"1";"2";10923;426
166;"1";"1";5689;240
166;"1";"2";9461;378
166;"1";"3";9801;404
167;"2";"1";7023;290
169;"1";"1";8297;291
169;"1";"2";10913;332
170;"1";"1";7359;241
170;"1";"2";10693;321
171;"1";"1";6541;252
172;"1";"1";9076;290
172;"1";"2";11159;377
173;"1";"1";8106;332
173;"1";"2";10972;414
174;"1";"1";9413;259
174;"1";"2";9726;316
175;"1";"1";8883;331
175;"1";"2";9336;361
175;"1";"3";9822;401
176;"1";"1";7794;298
176;"1";"2";6250;275
177;"1";"1";8647;342
177;"1";"2";10126;349
178;"1";"1";7190;285
178;"1";"2";7439;308
178;"1";"3";8114;338
179;"1";"1";6722;276
179;"1";"2";6103;267
182;"1";"1";4071;182
182;"1";"2";8338;314
183;"1";"1";7930;304
183;"1";"2";8599;324
184;"1";"1";8968;280
184;"1";"2";8280;296
185;"1";"1";7798;257
185;"1";"2";11386;318
186;"1";"1";6432;308
187;"1";"1";6377;323
188;"1";"1";4559;222
189;"1";"1";4542;216
190;"1";"1";6883;280
190;"1";"2";9066;352
191;"1";"1";6832;276
191;"1";"2";8729;349
191;"1";"3";8187;355
192;"1";"1";5720;254
192;"1";"2";5845;259
193;"1";"1";5605;242
193;"1";"2";9055;352
194;"1";"1";6221;322
194;"1";"2";9278;388
195;"1";"1";6523;262
195;"1";"2";7739;248
195;"1";"3";6237;271
196;"1";"1";8035;299
196;"1";"2";6891;281
196;"1";"3";9449;355
197;"1";"1";6311;246
197;"1";"2";8288;286
197;"1";"3";9875;393
198;"1";"1";5571;214
198;"1";"2";7361;288
198;"1";"3";7612;324
199;"1";"1";8881;344
199;"1";"2";9942;359
199;"1";"3";11122;406
200;"2";"1";2781;111
201;"1";"1";7442;358
201;"1";"2";8405;329
201;"1";"3";10962;452
202;"1";"1";5525;287
202;"1";"2";6557;302
203;"1";"1";5665;240
204;"1";"1";7631;305
206;"1";"1";6963;277
206;"1";"2";10730;379
207;"1";"1";7072;284
208;"1";"1";6979;344
208;"1";"2";7967;365
208;"1";"3";10531;423
209;"1";"1";7101;278
209;"1";"2";7996;283
213;"1";"1";6617;309
213;"1";"2";8311;395
213;"1";"3";7623;330
214;"1";"1";6870;309
214;"1";"2";8617;401
214;"1";"3";9028;318
215;"1";"1";8029;240
215;"1";"2";9044;320
215;"1";"3";12284;389
216;"1";"1";9182;347
216;"1";"2";9813;321
219;"1";"1";8285;293
219;"1";"2";8650;320
221;"1";"1";5202;209
221;"1";"2";4349;188
221;"1";"3";5702;221
222;"1";"1";4884;219
222;"1";"2";6743;276
222;"1";"3";8344;316
223;"2";"1";7683;277
223;"2";"2";8966;318
224;"1";"1";6320;252
224;"1";"2";9430;347
225;"1";"1";6638;267
225;"1";"2";5436;236
227;"1";"1";5588;197
228;"1";"1";9028;298
228;"1";"2";10661;356
229;"1";"1";8522;250
229;"1";"2";9754;284
229;"1";"3";11081;357
230;"2";"1";6365;265
230;"2";"2";8549;346
230;"2";"3";9989;375
231;"1";"1";6659;275
232;"1";"1";7050;319
232;"1";"2";10183;397
233;"1";"1";3918;157
233;"1";"2";8140;314
233;"1";"3";8224;368
234;"1";"1";7767;367
234;"1";"2";9144;358
235;"1";"1";7151;298
235;"1";"2";9012;390
236;"1";"1";9172;395
236;"1";"2";6541;277
237;"1";"1";6295;270
237;"1";"2";6165;247
238;"1";"1";7715;299
238;"1";"2";7621;271
239;"1";"1";6632;286
239;"1";"2";8000;300
240;"1";"1";5092;245
240;"1";"2";5990;250
240;"1";"3";8381;345
241;"1";"1";5153;208
241;"1";"2";6434;264
241;"1";"3";7668;298
241;"1";"4";7912;287
242;"1";"1";6946;271
242;"1";"2";7520;236
242;"1";"3";9355;270
242;"1";"4";9326;322
243;"1";"1";7370;367
243;"1";"2";4966;274
243;"1";"3";6397;308
244;"1";"1";5999;230
244;"1";"2";6059;200
244;"1";"3";6999;248
244;"1";"4";9437;308
245;"1";"1";6712;258
245;"1";"2";4747;158
246;"1";"1";6742;292
246;"1";"2";7122;290
246;"1";"3";7763;285
246;"1";"4";8842;317
247;"1";"1";6589;279
248;"1";"1";6901;335
248;"1";"2";6431;336
248;"1";"3";6790;321
249;"1";"1";8964;355
251;"1";"1";8486;338
251;"1";"2";8339;356
251;"1";"3";9894;313
252;"1";"1";5377;276
252;"1";"2";7249;252
252;"1";"3";5398;224
253;"1";"1";7712;376
254;"1";"1";5659;246
254;"1";"2";7882;252
254;"1";"3";3869;170
254;"1";"4";4798;205
255;"1";"1";6806;283
255;"1";"2";10234;331
255;"1";"3";10288;345
256;"1";"1";6181;269
257;"1";"1";6208;257
257;"1";"2";7244;252
257;"1";"3";8555;303
258;"1";"1";5994;297
258;"1";"2";7573;368
259;"1";"1";6280;272
259;"1";"2";6885;287
261;"1";"1";6876;365
261;"1";"2";6582;258
261;"1";"3";8989;366
262;"1";"1";6826;271
262;"1";"2";8096;263
262;"1";"3";8102;308
263;"1";"1";8116;311
264;"1";"1";4764;187
265;"1";"1";7721;343
265;"1";"2";10677;376
265;"1";"3";7789;305
268;"1";"1";6298;263
268;"1";"2";4631;183
268;"1";"3";6422;248
269;"1";"1";5472;202
269;"1";"2";8985;333
269;"1";"3";10339;402
270;"1";"1";6900;318
270;"1";"2";7544;307
270;"1";"3";8322;329
271;"2";"1";7395;313
271;"2";"2";9190;285
272;"1";"1";5945;269
274;"1";"1";5431;236
276;"1";"1";6698;318
276;"1";"2";9275;346
277;"1";"1";6577;347
277;"1";"2";7260;336
277;"1";"3";7248;312
279;"1";"1";6930;337
282;"1";"1";8346;338
282;"1";"2";11125;352
284;"1";"1";6618;316
284;"1";"2";8338;322
284;"1";"3";7783;301
285;"1";"1";5488;290
285;"1";"2";6635;295
285;"1";"3";6120;257
287;"1";"1";6356;242
288;"1";"1";5587;278
288;"1";"2";6202;245
288;"1";"3";9349;340
290;"1";"1";8064;295
292;"1";"1";10137;308
292;"1";"2";8930;296
294;"1";"1";6812;340
296;"1";"1";7701;301
296;"1";"2";9321;336
297;"1";"1";6877;300
297;"1";"2";9937;352
297;"1";"3";10652;415
298;"1";"1";8435;384
298;"1";"2";10154;350
298;"1";"3";8416;272
299;"1";"1";5808;272
301;"1";"1";6728;257
303;"1";"1";3922;188
303;"1";"2";7781;298
303;"1";"3";5804;214
305;"1";"1";4225;213
305;"1";"2";5540;211
305;"1";"3";5083;208
306;"2";"1";7163;284
307;"1";"1";5542;292
308;"1";"1";7051;283
308;"1";"2";9874;343
309;"1";"1";5684;271
309;"1";"2";7043;248
309;"1";"3";7130;262
310;"1";"1";4619;232
310;"1";"2";8570;328
310;"1";"3";8823;354
311;"1";"1";6418;297
311;"1";"2";9433;382
311;"1";"3";9149;342
312;"1";"1";7188;323
313;"1";"1";6752;314
313;"1";"2";8333;340
314;"1";"1";8242;360
315;"1";"1";5931;226
316;"1";"1";2940;107
317;"1";"1";7373;299
317;"1";"2";7578;234
318;"1";"1";6479;278
319;"2";"1";7230;388
320;"1";"1";5496;246
320;"1";"2";5330;207
320;"1";"3";5493;193
321;"1";"1";7856;336
321;"1";"2";6427;232
321;"1";"3";8327;309
322;"1";"1";6754;349
322;"1";"2";9934;379
323;"2";"1";6021;303
324;"1";"1";7223;223
324;"1";"2";11146;381
325;"1";"1";6473;223
325;"1";"2";7470;290
325;"1";"3";9823;391
326;"2";"1";8174;323
326;"2";"2";8063;307
326;"2";"3";9227;363
327;"1";"1";7276;297
327;"1";"2";8368;307
328;"1";"1";7615;254
328;"1";"2";10858;304
328;"1";"3";10241;315
329;"1";"1";5858;197
329;"1";"2";8373;267
330;"1";"1";6340;301
330;"1";"2";8328;357
330;"1";"3";10134;474
331;"1";"1";5824;240
331;"1";"2";7502;319
332;"1";"1";5982;257
332;"1";"2";8037;305
332;"1";"3";8528;333
333;"1";"1";4902;225
333;"1";"2";8014;331
333;"1";"3";9301;363
334;"2";"1";6746;314
334;"2";"2";8546;325
334;"2";"3";10086;365
335;"1";"1";7392;322
335;"1";"2";8496;316
335;"1";"3";11480;404
336;"1";"1";5967;295
336;"1";"2";8040;357
336;"1";"3";10461;471
337;"1";"1";6623;367
337;"1";"2";7330;319
337;"1";"3";8716;385
338;"1";"1";6647;243
338;"1";"2";8135;292
339;"1";"1";6196;301
339;"1";"2";5645;247
339;"1";"3";7312;309
340;"1";"1";6319;259
341;"1";"1";6664;294
341;"1";"2";4965;181
341;"1";"3";6369;216
342;"2";"1";7802;399
342;"2";"2";7968;334
342;"2";"3";9459;376
343;"1";"1";6397;279
344;"1";"1";4615;240
345;"1";"1";1708;87
346;"1";"1";5208;220
346;"1";"2";5548;230
346;"1";"3";6587;273
347;"1";"1";5312;222
347;"1";"2";10157;333
347;"1";"3";9825;312
348;"1";"1";5209;167
348;"1";"2";8122;291
348;"1";"3";9670;330
350;"2";"1";5305;230
351;"1";"1";6890;336
351;"1";"2";6236;297
351;"1";"3";8926;434
352;"1";"1";5797;296
352;"1";"2";7538;321
352;"1";"3";7316;314
353;"1";"1";6073;260
353;"1";"2";9002;371
354;"1";"1";5876;273
354;"1";"2";7459;351
354;"1";"3";8108;388
355;"1";"1";7260;292
355;"1";"2";9032;312
356;"1";"1";7706;289
356;"1";"2";7060;302
357;"1";"1";8838;363
357;"1";"2";10370;344
357;"1";"3";12290;425
358;"1";"1";4811;233
358;"1";"2";8215;299
359;"2";"1";8122;336
359;"2";"2";10039;339
359;"2";"3";9053;386
360;"1";"1";5882;269
361;"1";"1";8208;276
361;"1";"2";7316;243
361;"1";"3";8977;327
362;"1";"1";9087;279
362;"1";"2";10980;327
362;"1";"3";8843;302
363;"1";"1";6279;227
363;"1";"2";7038;297
363;"1";"3";8995;335
364;"1";"1";8398;316
364;"1";"2";10896;369
365;"1";"1";5877;268
365;"1";"2";5171;220
365;"1";"3";6571;261
366;"1";"1";6652;241
366;"1";"2";8674;288
367;"1";"1";7986;304
367;"1";"2";8185;275
367;"1";"3";7339;225
368;"2";"1";5469;266
369;"1";"1";7475;295
369;"1";"2";10953;320
369;"1";"3";11723;388
370;"1";"1";5815;222
370;"1";"2";6851;290
371;"1";"1";6037;239
372;"2";"1";6078;229
372;"2";"2";7428;294
372;"2";"3";8083;354
373;"1";"1";4668;158
373;"1";"2";7588;246
373;"1";"3";9418;265
374;"1";"1";5493;262
375;"1";"1";7029;315
376;"1";"1";7172;317
376;"1";"2";8675;347
376;"1";"3";9728;400
377;"1";"1";4443;180
377;"1";"2";8182;294
377;"1";"3";7709;297
378;"1";"1";6112;283
378;"1";"2";5288;256
378;"1";"3";6956;302
379;"1";"1";4925;230
379;"1";"2";6107;261
379;"1";"3";4745;230
380;"2";"1";5033;188
381;"1";"1";8049;318
381;"1";"2";9717;383
382;"1";"1";8561;249
382;"1";"2";10916;302
382;"1";"3";10784;404
384;"1";"1";4009;183
386;"2";"1";4329;183
387;"1";"1";5993;280
387;"1";"2";8068;343
388;"1";"1";9221;302
388;"1";"2";10568;335
390;"1";"1";7922;283
390;"1";"2";8095;284
392;"1";"1";7098;304
392;"1";"2";8898;394
393;"1";"1";5536;259
393;"1";"2";6706;264
394;"1";"1";5385;215
394;"1";"2";7522;261
395;"2";"1";4100;174
397;"1";"1";8328;256
397;"1";"2";11302;333
401;"1";"1";5918;222
401;"1";"2";6088;246
402;"1";"1";7170;280
403;"1";"1";6760;285
403;"1";"2";8927;314
403;"1";"3";11170;410
404;"1";"1";6817;262
404;"1";"2";9722;342
404;"1";"3";10291;361
405;"1";"1";7327;264
405;"1";"2";5378;167
405;"1";"3";10332;338
406;"1";"1";6777;292
406;"1";"2";8447;296
406;"1";"3";6025;189
407;"1";"1";4831;181
407;"1";"2";7451;255
407;"1";"3";8918;299
408;"1";"1";5804;290
408;"1";"2";6650;290
408;"1";"3";8565;361
409;"1";"1";6891;331
409;"1";"2";7970;298
409;"1";"3";7086;301
410;"1";"1";6698;309
411;"1";"1";7007;296
411;"1";"2";10022;382
412;"1";"1";8489;360
413;"1";"1";5977;261
413;"1";"2";9840;374
414;"1";"1";9939;346
414;"1";"2";12593;486
415;"1";"1";7889;293
415;"1";"2";7511;262
416;"2";"1";8552;304
416;"2";"2";6935;282
416;"2";"3";10556;442
417;"2";"1";8679;322
417;"2";"2";11195;382
417;"2";"3";13376;463
418;"1";"1";8643;388
418;"1";"2";10429;463
419;"1";"1";3982;168
420;"1";"1";7418;324
420;"1";"2";6605;298
421;"1";"1";7938;327
421;"1";"2";9845;335
421;"1";"3";9190;324
422;"1";"1";7384;281
422;"1";"2";5567;194
424;"1";"1";7875;291
424;"1";"2";10471;278
425;"1";"1";9357;374
425;"1";"2";10584;348
425;"1";"3";13442;475
426;"1";"1";7194;313
426;"1";"2";8500;319
426;"1";"3";9465;418
427;"1";"1";6778;306
427;"1";"2";7127;283
428;"1";"1";5930;246
428;"1";"2";5987;258
428;"1";"3";8192;377
429;"1";"1";8543;317
429;"1";"2";11027;379
429;"1";"3";10978;447
430;"1";"1";8529;270
430;"1";"2";7265;264
431;"1";"1";6201;238
432;"1";"1";7622;311
432;"1";"2";8568;351
433;"1";"1";9540;335
433;"1";"2";9574;331
434;"1";"1";6626;261
435;"1";"1";7335;275
435;"1";"2";10056;332
436;"1";"1";7799;293
436;"1";"2";9432;321
437;"1";"1";9094;327
437;"1";"2";11293;393
438;"1";"1";9153;321
438;"1";"2";9698;336
439;"1";"1";6641;283
439;"1";"2";8500;342
440;"1";"1";6949;277
440;"1";"2";9269;337
440;"1";"3";9853;386
441;"1";"1";2705;126
441;"1";"2";4058;192
442;"1";"1";7815;279
442;"1";"2";11084;342
443;"1";"1";7554;323
443;"1";"2";8783;344
444;"1";"1";9490;379
444;"1";"2";5937;254
444;"1";"3";9621;428
445;"1";"1";5980;200
445;"1";"2";7965;261
445;"1";"3";9219;291
446;"1";"1";7857;306
446;"1";"2";5200;210
447;"1";"1";8652;290
448;"1";"1";6866;281
448;"1";"2";9882;394
448;"1";"3";5465;198
449;"1";"1";5103;226
449;"1";"2";5888;263
449;"1";"3";9109;398
450;"1";"1";6332;216
450;"1";"2";6997;243
450;"1";"3";9632;357
452;"1";"1";5977;288
452;"1";"2";9024;346
452;"1";"3";9439;420
453;"1";"1";8403;328
453;"1";"2";10262;349
454;"1";"1";6567;268
455;"1";"1";7963;286
456;"2";"1";7374;332
456;"2";"2";8762;366
457;"1";"1";4549;257
457;"1";"2";4438;184
457;"1";"3";6529;287
458;"1";"1";7633;320
458;"1";"2";10093;370
458;"1";"3";10393;410
459;"1";"1";8679;348
459;"1";"2";8656;360
460;"1";"1";9084;341
460;"1";"2";9042;330
461;"1";"1";8040;355
461;"1";"2";8493;316
462;"1";"1";5986;263
462;"1";"2";7604;325
463;"1";"1";8673;295
464;"1";"1";6993;306
464;"1";"2";9360;371
464;"1";"3";9927;381
465;"1";"1";5377;209
465;"1";"2";8927;283
465;"1";"3";10234;383
